CpG,logFC,P.Value,adj.P.Val,chr,pos,genes,UCSC_RefGene_Group,Relation_to_Island,n_genes,on_candidate,candidate_genes_hit
cg01220440,0.0536703082923816,0.000612953922971725,0.766761580756231,chr3,13937591,"","",Island,0,FALSE,""
cg05341815,0.0810598034876306,0.000614806717076076,0.766761580756231,chr17,47979730,"","",Island,0,FALSE,""
cg12441052,-0.146059408242158,0.000615645875183718,0.766761580756231,chr11,66313700,ZDHHC24|ACTN3,TSS200;TSS1500,Island,2,FALSE,""
cg02765062,0.0522287186612831,0.000616184351881436,0.766761580756231,chr14,23609507,SLC7A8,Body;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg10976999,-0.0927460511350464,0.000618207848517917,0.766761580756231,chr8,142358827,"","",OpenSea,0,FALSE,""
cg07023791,0.0607180363310337,0.000618333216990041,0.766761580756231,chr10,83633980,NRG3,TSS1500;TSS1500,Island,1,FALSE,""
cg02424569,-0.0588975777371658,0.000621928830938922,0.766761580756231,chr3,14851410,"","",N_Shore,0,FALSE,""
cg00690778,-0.04240506489887,0.000623443856243188,0.766761580756231,chr9,129135624,MVB12B,Body;Body,OpenSea,1,FALSE,""
cg09392381,0.0442313354896078,0.000624423693333131,0.766761580756231,chr15,63114897,MIR190|TLN2,TSS1500;Body,OpenSea,2,FALSE,""
cg13159566,0.0539277884588111,0.000625367324416812,0.766761580756231,chr12,82752887,CCDC59|C12orf26,TSS1500;TSS1500;Body,S_Shore,2,FALSE,""
cg25977797,-0.0335983193470116,0.000625449438400854,0.766761580756231,chr7,36339170,EEPD1,3'UTR,OpenSea,1,FALSE,""
cg00042837,0.0577546423441885,0.000627664313618854,0.766761580756231,chr17,37028650,LASP1,Body,S_Shore,1,FALSE,""
cg15088822,0.0609437222867532,0.000627951175120066,0.766761580756231,chr5,140998632,DIAPH1,TSS200;TSS200,Island,1,FALSE,""
cg01312755,0.043888378516245,0.000628639526429513,0.766761580756231,chr8,101281566,RNF19A,Body;Body;Body,OpenSea,1,FALSE,""
cg19915618,0.247173988442174,0.00063147860687065,0.766761580756231,chr1,18902229,"","",OpenSea,0,FALSE,""
cg18253101,0.0479150850455772,0.000632253625043224,0.766761580756231,chr19,709325,PALM,Body;Body,Island,1,FALSE,""
cg22655853,-0.0741682244734016,0.00063249654997445,0.766761580756231,chr3,112280943,ATG3|SLC35A5,TSS200;TSS200;1stExon;5'UTR,Island,2,FALSE,""
cg14381046,0.0495110981347751,0.000632964724683848,0.766761580756231,chr21,44797707,"","",OpenSea,0,FALSE,""
cg14350064,-0.0726563172005659,0.000633497327265699,0.766761580756231,chr5,131587170,"","",OpenSea,0,FALSE,""
cg03730966,-0.0479697465546363,0.000633949560002611,0.766761580756231,chr22,17742020,CECR3,Body,OpenSea,1,FALSE,""
cg12785694,0.0548951114259573,0.000634358853683227,0.766761580756231,chr3,160122168,SMC4|MIR15B|MIR16-2,Body;TSS1500;Body;TSS1500,S_Shelf,3,FALSE,""
cg13818664,-0.0680232798086999,0.000634909199217889,0.766761580756231,chr11,56099655,"","",OpenSea,0,FALSE,""
cg13443171,-0.0845923342685773,0.000635988248663009,0.766761580756231,chr2,233514033,EFHD1,Body;5'UTR;Body,OpenSea,1,FALSE,""
cg26797263,0.0357890004687053,0.00063652025641525,0.766761580756231,chr10,24603264,KIAA1217,Body;Body;Body;Body,OpenSea,1,FALSE,""
cg22104478,0.057959588744643,0.000636801772356342,0.766761580756231,chr2,55845289,SMEK2,TSS1500;TSS1500,S_Shore,1,FALSE,""
cg24924525,-0.0641729875137966,0.000636899969334979,0.766761580756231,chr6,6517012,LY86-AS1,Body,OpenSea,1,FALSE,""
cg00230393,0.0804675249039347,0.000637887328863325,0.766761580756231,chr10,48429179,GDF10,Body,Island,1,FALSE,""
cg25325125,-0.0575551162869089,0.000639157112776008,0.766761580756231,chr10,71217644,TSPAN15,Body,OpenSea,1,FALSE,""
cg23747525,-0.0519567903354261,0.000639573724880727,0.766761580756231,chr20,37064089,LOC388796|SNORA71D,TSS200;TSS1500;TSS200,Island,2,FALSE,""
cg10228304,0.0389642349284581,0.000640953723613637,0.766761580756231,chr11,120079759,"","",N_Shore,0,FALSE,""
cg02189121,-0.0543636365222632,0.000641833353914497,0.766761580756231,chr6,79943796,HMGN3,Body;Body,Island,1,FALSE,""
cg22761551,0.0716508918954973,0.000644304884951719,0.766761580756231,chr5,175875380,FAF2,5'UTR;1stExon,Island,1,FALSE,""
cg17520159,-0.188227961274207,0.000645503315914667,0.766761580756231,chr3,178978387,KCNMB3,Body;Body;TSS1500;TSS1500,N_Shore,1,FALSE,""
cg06148974,0.0743542008309552,0.000645522108561488,0.766761580756231,chr4,1864183,"","",Island,0,FALSE,""
cg20054939,0.0903062845167676,0.000652600342723438,0.766761580756231,chr12,133614314,ZNF84,5'UTR;5'UTR,Island,1,FALSE,""
cg03080820,0.0874029069448901,0.000652761070201339,0.766761580756231,chr19,14800564,ZNF333,TSS1500,N_Shore,1,FALSE,""
cg23167528,-0.0382727797973156,0.000655470839901978,0.766761580756231,chr10,99289205,UBTD1,Body,OpenSea,1,FALSE,""
cg06780105,0.0677831960344434,0.000656320555893246,0.766761580756231,chr7,72971823,BCL7B,TSS1500;1stExon;1stExon;1stExon;5'UTR,Island,1,FALSE,""
cg00324510,-0.0448096060074456,0.000657279581032719,0.766761580756231,chr11,65928440,PACS1,Body,OpenSea,1,FALSE,""
cg26969179,0.0546238110605461,0.000657311960123697,0.766761580756231,chr10,127738328,ADAM12,Body;Body,OpenSea,1,FALSE,""
cg17668318,-0.0513166635726282,0.000659796044942207,0.766761580756231,chr16,89106195,"","",N_Shelf,0,FALSE,""
cg12972673,-0.0517443647014937,0.000659892200320645,0.766761580756231,chr2,238321568,COL6A3,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,OpenSea,1,FALSE,""
cg16520955,0.0888095115422162,0.000659912000853694,0.766761580756231,chr15,85923272,AKAP13,TSS1500;TSS1500,N_Shore,1,FALSE,""
cg16250461,0.0502396365208084,0.000660359100871761,0.766761580756231,chr6,30227360,HLA-L,Body,Island,1,FALSE,""
cg02435232,0.0759660575584374,0.000662966726676277,0.766761580756231,chr4,78078507,CCNG2,5'UTR;1stExon,Island,1,FALSE,""
cg17751073,0.0332940161226016,0.000663841683209805,0.766761580756231,chr5,138941423,UBE2D2,5'UTR;Body,Island,1,FALSE,""
cg02307288,-0.100317903681831,0.000664862047042514,0.766761580756231,chr5,135549111,TRPC7,3'UTR;3'UTR;3'UTR,OpenSea,1,FALSE,""
cg16817248,-0.0634556458605012,0.000665656115495272,0.766761580756231,chr21,43158250,"","",N_Shelf,0,FALSE,""
cg00981170,-0.0419091736721224,0.000666463151393193,0.766761580756231,chr16,68563546,"","",N_Shore,0,FALSE,""
cg21699600,0.0544102978825925,0.000668833579280952,0.766761580756231,chr10,79626470,DLG5,Body,OpenSea,1,FALSE,""
cg17781983,-0.0595216570345502,0.000668837816787561,0.766761580756231,chr7,13506380,"","",OpenSea,0,FALSE,""
cg11493139,0.072738271028853,0.000668948291751017,0.766761580756231,chr10,32217547,ARHGAP12,5'UTR,Island,1,FALSE,""
cg13048285,0.054070839279452,0.000669136835229691,0.766761580756231,chr2,117509771,"","",OpenSea,0,FALSE,""
cg01177167,0.06683620077363,0.00066978449151581,0.766761580756231,chr10,101280523,"","",N_Shore,0,FALSE,""
cg16336103,0.0339530159406326,0.000674568042791604,0.766761580756231,chr19,1016865,TMEM259,Body;Body,N_Shelf,1,FALSE,""
cg16116639,0.0845269758788688,0.000675243949131625,0.766761580756231,chr15,89683968,ABHD2,Body;Body,OpenSea,1,FALSE,""
cg08021780,-0.0605055263493306,0.000676673025662622,0.766761580756231,chr19,18118880,ARRDC2,Body;TSS200,Island,1,FALSE,""
cg03142741,0.0620444611305043,0.000677421953201694,0.766761580756231,chr1,227947250,SNAP47,Body,OpenSea,1,FALSE,""
cg26552431,-0.057206733700214,0.000678651852791689,0.766761580756231,chr22,46887889,CELSR1,Body,OpenSea,1,FALSE,""
cg26551326,-0.04364263141664,0.000680649589956582,0.766761580756231,chr17,74068667,SRP68,TSS200,Island,1,FALSE,""
cg07015424,0.0890335436299108,0.000680962229952579,0.766761580756231,chr7,124360326,"","",OpenSea,0,FALSE,""
cg22558765,0.171192691233002,0.000682267420621154,0.766761580756231,chr3,127626966,"","",OpenSea,0,FALSE,""
cg27116069,-0.0692418133998682,0.000683702063881299,0.766761580756231,chr14,64540673,SYNE2|MIR548AZ,ExonBnd;ExonBnd;Body;Body;Body,OpenSea,2,FALSE,""
cg05440683,-0.0626177469957008,0.000684819556388013,0.766761580756231,chr1,18493056,IGSF21,Body,OpenSea,1,FALSE,""
cg15650274,0.0515243953498166,0.000685450309012535,0.766761580756231,chr9,91150624,NXNL2,1stExon;1stExon,Island,1,FALSE,""
cg16583987,0.0964163399789685,0.000685539372529733,0.766761580756231,chr1,44509575,"","",OpenSea,0,FALSE,""
cg13380181,0.132662262382201,0.00068557460921875,0.766761580756231,chr9,112262548,"","",S_Shore,0,FALSE,""
cg11819429,0.0484679166439823,0.000686400314007368,0.766761580756231,chr14,23565029,C14orf119|ACIN1,5'UTR;TSS1500;TSS1500;TSS1500,S_Shore,2,FALSE,""
cg01594740,0.0547811832281092,0.000686831061591721,0.766761580756231,chr22,37675532,"","",OpenSea,0,FALSE,""
cg25345528,-0.154703047237037,0.000686843805584416,0.766761580756231,chr12,79946926,"","",OpenSea,0,FALSE,""
cg24830233,-0.0987294576016933,0.000687574988551924,0.766761580756231,chr6,30166423,TRIM26,Body,OpenSea,1,FALSE,""
cg08812689,0.0361011674346734,0.00068773587279408,0.766761580756231,chr3,172042767,FNDC3B,Body;Body,OpenSea,1,FALSE,""
cg02688752,0.0647519256547495,0.000688756125683851,0.766761580756231,chr5,76115309,F2RL1,Body,N_Shore,1,FALSE,""
cg04576695,-0.065341243497829,0.000689141132052589,0.766761580756231,chr3,9055479,SRGAP3,Body;Body,OpenSea,1,FALSE,""
cg23078896,0.0672023102548161,0.000690233760290055,0.766761580756231,chr3,152878616,RAP2B,TSS1500,Island,1,FALSE,""
cg25120969,0.0639069005146971,0.000690580104476669,0.766761580756231,chr10,121410679,BAG3,TSS1500,Island,1,FALSE,""
cg09338374,0.102645106344933,0.000690753859666235,0.766761580756231,chr22,39888390,"","",S_Shelf,0,FALSE,""
cg03679734,-0.0642506404640425,0.000690894678200208,0.766761580756231,chr15,43885090,CKMT1B,TSS200,N_Shore,1,FALSE,""
cg14723566,-0.0586215795843467,0.000691812722763725,0.766761580756231,chr15,80711027,ARNT2,Body,OpenSea,1,FALSE,""
cg05963618,-0.060779469314171,0.000691869465060368,0.766761580756231,chr5,159343468,ADRA1B,TSS1500,Island,1,FALSE,""
cg15733007,0.0475841396089273,0.000692591819383364,0.766761580756231,chr6,165324747,"","",OpenSea,0,FALSE,""
cg07072475,0.0768965200863956,0.000692771237858476,0.766761580756231,chr14,90850234,"","",Island,0,FALSE,""
cg20168106,-0.0340469880182002,0.000693198510359836,0.766761580756231,chr8,125774045,"","",OpenSea,0,FALSE,""
cg23467826,0.0484925525801071,0.000695700695181051,0.766761580756231,chr22,27024744,CRYBA4,Body,OpenSea,1,FALSE,""
cg15730313,0.16719035427541,0.000696631107850274,0.766761580756231,chr5,191628,LRRC14B,1stExon;5'UTR,N_Shore,1,FALSE,""
cg00112187,-0.0591314034805688,0.000696924041300681,0.766761580756231,chr8,142653790,"","",OpenSea,0,FALSE,""
cg10207454,-0.0492479378905384,0.000700188558850119,0.766761580756231,chr1,168422569,"","",OpenSea,0,FALSE,""
cg16010913,0.0310615999083538,0.000700742886608566,0.766761580756231,chr1,177530901,"","",OpenSea,0,FALSE,""
cg08373904,-0.0471383017528638,0.000701256352684434,0.766761580756231,chr11,1543275,HCCA2,Body,OpenSea,1,FALSE,""
cg10567810,0.0548259769891022,0.000702811371233598,0.766761580756231,chr18,11149068,FAM38B,TSS1500,Island,1,FALSE,""
cg17953136,0.0607563995011952,0.000706511219175708,0.766761580756231,chr2,20232577,LAPTM4A,3'UTR,OpenSea,1,FALSE,""
cg08077617,-0.134802607189488,0.000707515707159219,0.766761580756231,chr16,55868196,CES1,TSS1500;TSS1500;TSS1500,S_Shore,1,TRUE,CES1
cg04324999,0.0754147347673283,0.000709529257176812,0.766761580756231,chr19,4580978,"","",Island,0,FALSE,""
cg17716947,0.0989957157914998,0.00071181025344451,0.766761580756231,chr3,43680188,"","",OpenSea,0,FALSE,""
cg26863864,0.0628008536123444,0.000712876859050537,0.766761580756231,chr16,57849138,"","",OpenSea,0,FALSE,""
cg26526953,0.0761500809784835,0.00071345413006409,0.766761580756231,chr19,1921199,SCAMP4,Body,Island,1,FALSE,""
cg26388669,0.0847407772150429,0.000713490363802114,0.766761580756231,chr11,64085725,TRMT112|PRDX5,TSS200;TSS200;TSS200;1stExon;1stExon;1stExon,Island,2,FALSE,""
cg16911548,-0.0569885290211008,0.000713791534447853,0.766761580756231,chr10,45352772,"","",OpenSea,0,FALSE,""
cg24224153,0.0652848007749575,0.000715074768352815,0.766761580756231,chr2,23574549,"","",OpenSea,0,FALSE,""
cg12401398,0.0683951660434054,0.000716054370280386,0.766761580756231,chr11,17479230,ABCC8,Body;Body,OpenSea,1,FALSE,""
cg09217079,0.0322435491226478,0.000716131736511979,0.766761580756231,chr9,124262406,GGTA1,TSS200,Island,1,FALSE,""
cg20920357,0.353975094942655,0.000716788990273525,0.766761580756231,chr4,116877727,"","",OpenSea,0,FALSE,""
cg22042908,-0.0719459730722065,0.00072026843251015,0.766761580756231,chr20,4802684,RASSF2,5'UTR,N_Shore,1,FALSE,""
cg03409985,0.053811209689365,0.000721062471268643,0.766761580756231,chr22,24622188,GGT5,Body;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg10738175,-0.0557661516528401,0.000722547267103846,0.766761580756231,chr6,137548831,"","",OpenSea,0,FALSE,""
cg21309114,-0.0703340274677545,0.000723215336158301,0.766761580756231,chr14,35591537,KIAA0391|PPP2R3C,TSS1500;TSS1500;1stExon;1stExon;5'UTR;1stExon;1stExon;1stExon;1stExon;5'UTR;5'UTR;5'UTR;Body;5'UTR;5'UTR,Island,2,FALSE,""
cg14299940,-0.162575388053907,0.000724300640471257,0.766761580756231,chr9,131684923,PHYHD1,Body;Body;Body,OpenSea,1,FALSE,""
cg11802686,-0.0459623227361542,0.00072440507047052,0.766761580756231,chr8,74312680,"","",OpenSea,0,FALSE,""
cg13843611,0.076882012565712,0.000724428192656707,0.766761580756231,chr1,20143089,RNF186,TSS1500,OpenSea,1,FALSE,""
cg08225155,-0.0499520444081987,0.000725329541202339,0.766761580756231,chr6,28882465,TRIM27,Body,OpenSea,1,FALSE,""
cg02563613,-0.0436294529695664,0.000726266345513201,0.766761580756231,chr14,101100746,"","",OpenSea,0,FALSE,""
cg02756375,-0.087355727028644,0.000726657048010324,0.766761580756231,chr4,20254324,SLIT2,TSS1500;TSS1500;TSS1500,Island,1,FALSE,""
cg01279709,-0.0440454747433359,0.000727189195152647,0.766761580756231,chr13,28196083,POLR1D|LNX2,5'UTR;TSS1500;1stExon;5'UTR;1stExon,Island,2,FALSE,""
cg01919118,-0.145751786054208,0.000729789403047486,0.766761580756231,chr15,75018731,CYP1A1,TSS1500,Island,1,FALSE,""
cg10174146,0.0960152050519398,0.000729940530220502,0.766761580756231,chr10,6540795,PRKCQ,Body;Body;Body;Body,OpenSea,1,FALSE,""
cg09881353,-0.0703984077368982,0.000730991970799582,0.766761580756231,chr22,19458965,UFD1L,Body;Body,OpenSea,1,FALSE,""
cg06956784,-0.14390376454678,0.000731585847711811,0.766761580756231,chr1,18060505,"","",OpenSea,0,FALSE,""
cg02758987,-0.0725190841589089,0.000731931789297956,0.766761580756231,chr7,100080527,C7orf51,TSS1500,N_Shore,1,FALSE,""
cg11660018,-0.0634953189868107,0.000732607267579665,0.766761580756231,chr11,86510915,PRSS23,TSS1500,N_Shore,1,TRUE,PRSS23
cg12546469,-0.0687793865503825,0.000732922197193407,0.766761580756231,chr9,71393838,FAM122A|PIP5K1B,TSS1500;5'UTR;5'UTR,N_Shore,2,FALSE,""
cg07914804,-0.0930710255274914,0.000733021443868008,0.766761580756231,chr5,125800758,GRAMD3,TSS200;5'UTR;Body;Body;Body,OpenSea,1,FALSE,""
cg19514694,0.058220524566313,0.000734673734478547,0.766761580756231,chr6,147830561,SAMD5,Body,S_Shore,1,FALSE,""
cg07974890,0.0463008740076426,0.000735331551538471,0.766761580756231,chr2,192623925,"","",OpenSea,0,FALSE,""
cg17690919,-0.0716047873506423,0.000737133604799213,0.766761580756231,chr13,99359210,SLC15A1,Body,OpenSea,1,FALSE,""
cg16732654,0.0739704332615237,0.000737552382994727,0.766761580756231,chr17,79129022,AATK,Body,N_Shelf,1,FALSE,""
cg26559018,-0.0579602786191871,0.000741496967832731,0.766761580756231,chr3,32001837,OSBPL10,Body;Body,OpenSea,1,FALSE,""
cg16470902,0.0580457705534892,0.000742264792526569,0.766761580756231,chr12,52699150,KRT86,Body,N_Shelf,1,FALSE,""
cg22736850,-0.149184721021698,0.000742536057636509,0.766761580756231,chr20,18039663,OVOL2,TSS1500,Island,1,FALSE,""
cg16782184,-0.0641471358582849,0.000743757969253822,0.766761580756231,chr14,24555085,NRL,TSS1500,S_Shelf,1,FALSE,""
cg07788437,0.0807228563887813,0.000745248851183322,0.766761580756231,chr19,1799952,ATP8B3,Body,Island,1,FALSE,""
cg20733303,0.0403955242095184,0.000746210693654127,0.766761580756231,chr8,131432024,ASAP1,5'UTR;5'UTR,OpenSea,1,FALSE,""
cg11648594,-0.110573363451725,0.00074754774282427,0.766761580756231,chr1,1566860,MMP23A|MMP23B,TSS1500;TSS1500,Island,2,FALSE,""
cg07673578,-0.126252686920756,0.000748018307774605,0.766761580756231,chr10,133913430,"","",OpenSea,0,FALSE,""
cg08785078,0.0573903317110207,0.000748644332718429,0.766761580756231,chr14,22314516,"","",OpenSea,0,FALSE,""
cg18030615,0.07224223804643,0.000749273075010237,0.766761580756231,chr8,91663454,"","",OpenSea,0,FALSE,""
cg16815358,-0.0619533118207695,0.000749447229598205,0.766761580756231,chr11,3123614,OSBPL5,Body;Body;Body,OpenSea,1,FALSE,""
cg03625953,0.091706768161049,0.000749471986266494,0.766761580756231,chr17,1975218,SMG6,Body;Body,OpenSea,1,FALSE,""
cg00353773,0.0685831031395902,0.000751359328431353,0.766761580756231,chr10,44880708,CXCL12,TSS200;TSS200;TSS200,Island,1,FALSE,""
cg16871855,0.0847221080491603,0.000751375226117847,0.766761580756231,chr8,130970618,FAM49B,Body;Body,OpenSea,1,FALSE,""
cg21320768,-0.0868276523098274,0.000752912760775058,0.766761580756231,chr13,50070766,PHF11,Body;5'UTR,S_Shore,1,FALSE,""
cg01715384,0.0462924017192653,0.000753623995228958,0.766761580756231,chr1,41853403,"","",OpenSea,0,FALSE,""
cg12831034,0.0642842700540725,0.000753937013763012,0.766761580756231,chr20,57582971,CTSZ,TSS1500,S_Shore,1,FALSE,""
cg14055502,0.0503884880461253,0.000755160617593205,0.766761580756231,chr9,93658226,SYK,Body;Body;3'UTR;3'UTR,OpenSea,1,FALSE,""
cg05898333,-0.0862639658147028,0.000756359448599461,0.766761580756231,chr20,62549385,MIR941-1|DNAJC5|MIR941-3|MIR941-2,TSS1500;5'UTR;TSS1500;TSS1500,N_Shore,4,FALSE,""
cg12881557,-0.152598218852466,0.000756431899785237,0.766761580756231,chr18,24130633,KCTD1,5'UTR;TSS1500,Island,1,FALSE,""
cg04445386,0.0632720068481331,0.0007609595790852,0.766761580756231,chr10,133048010,TCERG1L,Body,OpenSea,1,FALSE,""
cg19455016,-0.0814686611628548,0.000762779657605159,0.766761580756231,chr16,75290476,BCAR1,5'UTR;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg25405192,-0.0867667192990931,0.000763324603890363,0.766761580756231,chr16,20271974,"","",OpenSea,0,FALSE,""
cg26475948,0.072683107402842,0.000763727819754022,0.766761580756231,chr22,46895349,CELSR1,Body,OpenSea,1,FALSE,""
cg23771366,-0.0718713573887276,0.000764306843159354,0.766761580756231,chr11,86510998,PRSS23,TSS1500,N_Shore,1,TRUE,PRSS23
cg24230904,0.0848279885007033,0.000764962503204479,0.766761580756231,chr12,1013070,WNK1,Body;Body;Body;Body,OpenSea,1,FALSE,""
cg05702052,-0.165600618172527,0.000765134126769324,0.766761580756231,chr10,124714365,C10orf88,TSS1500,S_Shore,1,FALSE,""
cg22800025,0.0362928569238552,0.000768857996954371,0.766761580756231,chr19,17137704,CPAMD8,TSS200,OpenSea,1,FALSE,""
cg04318458,0.0503069721677947,0.000771018289337967,0.766761580756231,chr12,52886500,KRT6A,1stExon,OpenSea,1,FALSE,""
cg01440665,-0.0647770222990161,0.00077519495114205,0.766761580756231,chr12,133525300,ZNF605,5'UTR;5'UTR,OpenSea,1,FALSE,""
cg06531205,-0.0411771707218411,0.000775198227568538,0.766761580756231,chr15,93564924,CHD2,Body,OpenSea,1,FALSE,""
cg13915464,0.0499038206837248,0.000775785590457652,0.766761580756231,chr2,1792677,"","",OpenSea,0,FALSE,""
cg02009809,-0.0824275542018853,0.000776245175309584,0.766761580756231,chr5,5535065,"","",OpenSea,0,FALSE,""
cg27133493,-0.0332247964763819,0.000777839489004342,0.766761580756231,chr16,69105306,TMCO7,Body,OpenSea,1,FALSE,""
cg19262315,-0.0900581916642041,0.000778104387403746,0.766761580756231,chr11,67325980,"","",OpenSea,0,FALSE,""
cg18129105,-0.0458450724747901,0.000778579202106594,0.766761580756231,chr17,65713950,NOL11,TSS200,Island,1,FALSE,""
cg12762089,-0.0784589118075194,0.000780622735783698,0.766761580756231,chr11,134395000,"","",OpenSea,0,FALSE,""
cg11776763,0.072786413648873,0.000781059168957787,0.766761580756231,chr9,138223997,"","",OpenSea,0,FALSE,""
cg16480258,0.058066098338906,0.000781687764663893,0.766761580756231,chr12,49354782,"","",S_Shelf,0,FALSE,""
cg10403292,-0.0549723008480679,0.000783227179101828,0.766761580756231,chr7,157709301,PTPRN2,Body;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg23427269,0.0778523993770762,0.0007842453209963,0.766761580756231,chr2,70995444,ADD2,TSS200;TSS200;TSS200;TSS200;TSS200,S_Shore,1,FALSE,""
cg01324838,0.106704050345368,0.000784431763551025,0.766761580756231,chr8,50211250,"","",OpenSea,0,FALSE,""
cg21786227,-0.040045212551861,0.000784540177829602,0.766761580756231,chr1,154951605,CKS1B,Body;3'UTR,OpenSea,1,FALSE,""
cg03562940,0.0886252233274644,0.000784709336973472,0.766761580756231,chr3,72092096,LINC00877,Body,OpenSea,1,FALSE,""
cg13714266,-0.0583149206678135,0.000784893954649189,0.766761580756231,chr22,40924197,MKL1,5'UTR;5'UTR;5'UTR,OpenSea,1,FALSE,""
cg00890257,-0.0505104334560316,0.000785080415106084,0.766761580756231,chr14,100625756,DEGS2,Body,Island,1,FALSE,""
cg09185773,-0.0707912428116662,0.000787423954014567,0.766761580756231,chr13,27132773,WASF3,5'UTR,S_Shore,1,FALSE,""
cg08669361,0.0744436986907047,0.000790755014472567,0.766761580756231,chr6,99872792,SFRS18,5'UTR;5'UTR,Island,1,FALSE,""
cg27632248,0.156838598507718,0.000791730189517563,0.766761580756231,chr15,78618117,"","",OpenSea,0,FALSE,""
cg03989020,0.216857511984517,0.000792967346107154,0.766761580756231,chr13,30002334,MTUS2,TSS1500;Body,OpenSea,1,FALSE,""
cg06826341,0.076974988047588,0.000795031052755601,0.766761580756231,chr1,180207363,LHX4,Body,S_Shelf,1,FALSE,""
cg00501876,-0.0410682627192745,0.000798677081574801,0.766761580756231,chr3,39193251,CSRNP1,5'UTR,N_Shore,1,FALSE,""
cg12569911,-0.0830235616400231,0.00079976142032299,0.766761580756231,chr20,54580657,CBLN4,TSS200,Island,1,FALSE,""
cg09825418,0.0485519167316512,0.000800191935627366,0.766761580756231,chr1,231377181,GNPAT|C1orf131,1stExon;TSS1500,Island,2,FALSE,""
cg16619311,-0.063699183723442,0.000802424453980354,0.766761580756231,chr17,72921804,OTOP2,Body,S_Shore,1,FALSE,""
cg21330500,-0.0686216897008734,0.000802792627244917,0.766761580756231,chr22,48651166,"","",OpenSea,0,FALSE,""
cg24082368,-0.040627696198849,0.000807679575957636,0.766761580756231,chr14,28732361,"","",OpenSea,0,FALSE,""
cg25907215,-0.0644367028232706,0.000808209932310515,0.766761580756231,chr22,24178181,DERL3,3'UTR;3'UTR;Body,N_Shelf,1,FALSE,""
cg20073882,0.0622102984046343,0.000808276025498325,0.766761580756231,chr4,80247524,NAA11,TSS1500,OpenSea,1,FALSE,""
cg14323943,0.0616770112980818,0.000808687103084002,0.766761580756231,chr5,1226480,SLC6A18,Body,N_Shore,1,FALSE,""
cg21866431,0.0699833947245711,0.000809086050449411,0.766761580756231,chr1,146476636,"","",OpenSea,0,FALSE,""
cg02813021,0.0434455933037361,0.000809379706704327,0.766761580756231,chr10,180599,ZMYND11,5'UTR;5'UTR;5'UTR;1stExon;1stExon;1stExon,Island,1,FALSE,""
cg14602578,0.0672448640672893,0.000811666457517695,0.766761580756231,chr6,90539678,CASP8AP2,1stExon;1stExon;5'UTR;5'UTR;5'UTR,Island,1,FALSE,""
cg23229051,0.0376766846411931,0.00081465190038097,0.766761580756231,chr2,65595186,SPRED2,TSS1500;Body,OpenSea,1,FALSE,""
cg08100284,-0.0939034815150139,0.000815677538053459,0.766761580756231,chr17,35242990,"","",OpenSea,0,FALSE,""
cg18354948,-0.0568507433271369,0.000815759615975518,0.766761580756231,chr4,87516011,PTPN13,5'UTR;5'UTR;5'UTR;5'UTR,S_Shore,1,FALSE,""
cg07934856,0.10238874893468,0.000817563875851306,0.766761580756231,chr10,6955209,"","",OpenSea,0,FALSE,""
cg16791143,-0.0485646784745362,0.000819283310208737,0.766761580756231,chr2,239889357,"","",S_Shore,0,FALSE,""
cg26343116,-0.0689320484106754,0.000819580409965364,0.766761580756231,chr5,172045960,"","",S_Shore,0,FALSE,""
cg12881105,-0.0414996147083178,0.000819995096400489,0.766761580756231,chr12,132411418,"","",N_Shore,0,FALSE,""
cg19530217,0.0715791969694623,0.000820042641456988,0.766761580756231,chr11,67397584,NUDT8,TSS200,Island,1,FALSE,""
cg04695373,0.0446768672769222,0.000820459588272781,0.766761580756231,chr19,54327995,NLRP12,TSS1500,OpenSea,1,FALSE,""
cg02087454,0.0810730081171973,0.000822310759928522,0.766761580756231,chr3,9292025,SRGAP3,TSS1500;TSS1500,OpenSea,1,FALSE,""
cg02984617,0.120537894607961,0.000824542741912727,0.766761580756231,chr11,30046617,"","",OpenSea,0,FALSE,""
cg03761958,0.0931224038214648,0.000825053767733587,0.766761580756231,chr10,11856193,"","",OpenSea,0,FALSE,""
cg26639596,-0.0658482595583015,0.000825440687263234,0.766761580756231,chr12,124371660,DNAH10,Body,OpenSea,1,FALSE,""
cg22819999,-0.0445018405083854,0.000827031553661051,0.766761580756231,chr1,237173253,"","",OpenSea,0,FALSE,""
cg08714754,0.109907430167474,0.000829070688816337,0.766761580756231,chr15,72523813,PKM,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,Island,1,FALSE,""
cg12034791,-0.0583743391984787,0.000830916986188495,0.766761580756231,chr15,41056294,GCHFR,1stExon;5'UTR,Island,1,FALSE,""
cg01807412,-0.0405296632902778,0.000831464118780083,0.766761580756231,chr17,38443956,CDC6,TSS200,Island,1,FALSE,""
cg16009558,0.116590802037219,0.00083448996064911,0.766761580756231,chr6,101846707,GRIK2,TSS200;TSS200;TSS200,N_Shore,1,FALSE,""
